Canal Park,"Canal Park, Duluth, MN 55802",https://canalpark.com/,"Canal Park is a tourist and recreation-oriented district of Duluth, Minnesota, United States. Situated across the Interstate 35 freeway from Downtown Duluth, it is connected by the famous Aerial Lift Bridge to the Park Point sandbar and neighborhood.",https://www.krislindahl.com/wp-content/uploads/2023/04/canal-park.jpg,Kris Lindahl Real Estate
Aerial Lift Bridge,"601 S Lake Ave, Duluth, MN 55802",https://www.dot.state.mn.us/historicbridges/L6116.html,"The Aerial Lift Bridge is a landmark in the port city of Duluth, Minnesota. The span began life in 1905 as the United States' first transporter bridge. In 1929–30, the span was converted to a vertical lift bridge, and continues to operate today.",https://canalpark.com/wp-lib/wp-content/uploads/2018/12/duluth_winter.jpg,Canal Park
Spirit Mountain Recreation Area,"9540 W Skyline Pkwy, Duluth, MN 55810",https://www.spiritmt.com/,Recreational mountain featuring wintertime downhill skiing & a summertime adventure park.,https://spiritmt.com/wp-content/uploads/2023/03/18-02-21-Duluth-Spirit-Winter-32-1-1.jpg,Spirit Mountain
Glensheen Mansion,"3300 London Rd, Duluth, MN 55804",https://glensheen.org/,"Glensheen, the Historic Congdon Estate is a 20,000 square foot mansion in Duluth, Minnesota, United States, operated by the University of Minnesota Duluth as a historic house museum.",https://glensheen.org/wp-content/uploads/2022/09/DSC_5814-2-min.jpg,Glensheen Mansion
Great Lakes Aquarium,"353 Harbor Dr, Duluth, MN 55802",https://glaquarium.org/,"The Great Lakes Aquarium opened in 2000 and is located on the Duluth waterfront. A 501 private nonprofit, its mission is to inspire people to explore their connection to Lake Superior and waters of the world.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/a0/17/3d/coral-reef-display-in.jpg?w=900&h=500&s=1,Tripadvisor
Jay Cooke State Park,"780 MN-210, Carlton, MN 55718",https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187#homepage,"Jay Cooke State Park is a state park of Minnesota, United States, protecting the lower reaches of the St. Louis River. The park is located about 10 miles southwest of Duluth and is one of the ten most visited state parks in Minnesota. The western half of the park contains part of a rocky, 13-mile gorge.",https://www.exploreminnesota.com/sites/default/files/styles/listing_slideshow/public/listing_images/b1b77b31e2754dd6cd5bc2bb3fa7fe8b9102fab5_37.jpg.webp?h=10d202d3&itok=yIKuecrN,Explore Minnesota
North Shore Scenic Railroad,"506 W Michigan St, Duluth, MN 55802",http://www.northshorescenicrailroad.org/,"Seasonal narrated train tours follow a historic transport corridor for short, long & themed rides.",https://duluthtrains.com/wp-lib/wp-content/uploads/2024/02/GN-400-LSRM-fall-color-rose-garden-M1-Schauer-e1707344904152.jpg,North Shore Scenic Railroad
"William A Irvin Museum","350 Harbor Dr, Duluth, MN 55802",decc.org,"Until the 1970s, the William A Irvin transported coal and iron across the Great Lakes.  Now, it is home to a museum and, in the fall, turned into a haunted house.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ef/a5/4a/ss-william-a-irvin-ore.jpg?w=900&h=500&s=1,Tripadvisor
Enger Tower,"Enger Tower, 1605 Enger Tower Dr, Duluth, MN 55806",duluthmn.gov,"Located just up the hill from downtown, Enger Park offers pleasant trails and an observation tower with a stunning view of Lake Superior.",https://www.exploreminnesota.com/sites/default/files/styles/listing_slideshow/public/listing_images/9bbafc059cf6318c262ef666d7fb9e2c7b96d1f6_36.jpg.webp?h=eefdb59d&itok=PCQ3ABU7,Explore Minnesota
Park Point Beach,"4920 Minnesota Ave, Duluth, MN 55802","https://visitduluth.com/experience/signature-sights/park-point/#:~:text=Park%20Point%20(Minnesota%20Point),a%20bit%20of%20local%20history","Park Point Beach can be found south of the Aerial Lift Bridge. Stretching over five miles, it is recognized as the longest freshwater sandbar in the world!","https://playeasy.com/cdn-cgi/image/width=3840,fit=scale-down,format=auto,quality=85,background=white/https://storage.playeasy.com/facility-mgmt/c628f2ea-2dd3-4792-b971-2f5e577c5d0d",Playeasy
